pincode,circle,region,division,offices
391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO, Jamli BO, Kharmada BO, Kolamba BO, Moghela BO, Nalvant BO, Navagam BO, Palasani BO, Sengpur BO, Sodhaliya BO, Vaguma BO, Vankla BO, Wagach BO, Zer BO"
391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO, Segwa Simli BO, Sukal BO"
391156,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tejgadh SO, Puniavant BO, Bhilpur BO, Devalia BO, Dumali BO, Jaloda BO, Palsanda BO, Raisingpura BO"
391160,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pavijetpur SO, Aniyadri BO, Bar BO, Baravad BO, Bhanpur BO, Bhensavali BO, Bhikhapur BO, Chudel BO, Dungarvant BO, Harakhapur BO, Jamba BO, Kadvad BO, Kanda BO, Kikavada BO, Kohivav BO, Mota Amadra BO, Moti  Amroli BO, Moti  Beg BO, Moti  Rasli BO, Muvada BO, Pani BO, Ratanpur BO, Uchapan BO, Umarva BO, Valothi BO, Waghva BO"
391165,Gujarat Circle,Vadodara Region,Vadodara East Division,"Chhotaudepur SO, Ambala BO, Bhorda BO, Chisadiya BO, Dhandhoda BO, Dholi Simal BO, Dolaria BO, Ekalbara BO, Ghelawant BO, Khadkhad BO, Kundal BO, Mandlava BO, Mithibor BO, Padharwant BO, RangpurZ BO, Sanada BO, Surkheda BO, Virpur BO, Zoz BO, Gunata BO"
391168,Gujarat Circle,Vadodara Region,Vadodara East Division,"Panvad SO, Asar BO, Bedia BO, Bhumaswada BO, Dungargam BO, Kanalva BO, Karanjwant BO, Khatiawant BO, Manavant BO, Morangana BO, Motaghoda BO, Mundamore BO, Nani Tokri BO, Raichha BO, Rangpur K BO, Rodadha BO, Rumadia BO, Sadhli BO, Sinhada BO, Singla BO"
391170,Gujarat Circle,Vadodara Region,Vadodara East Division,"Kawant SO, Athadungri BO, Manka BO, Mankodi BO, Motavanta BO, Navalja BO, Pipaldi BO, Raisingpura BO, Saidivasana BO, Thadgam BO, Umathi BO, Vijli BO, KADIPANI BO, AMBADUNGAR BO"
391175,Gujarat circle,Vadodara Region,Vadodara East Division,Ambadungar BO
391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO, Gandhara BO, Ganpatpura BO, Karmal BO, Mandala BO, Nada BO, Nana Fofalia BO, Parikha BO, Vemardi BO"
391220,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kayavahron SO, Jiyatalavdi BO, Kuvarpura BO, Lingsthali BO, Menpura BO, Patarveni BO, Ruvand BO, Shahpura BO"
391240,Gujarat Circle,Vadodara Region,Vadodara West Division,"Miyagam Karjan SO, Anastu BO, Bodka BO, Chorbhuj BO, Gosindra BO, Handod BO, Juni Jathardi BO, Kambola BO, Kanbha BO, Karamdi BO, Kurai BO, Kurali BO, Manpur BO, Methi BO, Miyagam BO, Pingalvada BO, Sambhoi BO, Sampa BO, Sokhdaradhu BO, Vemar BO, Virjai BO"
391243,Gujarat Circle,Vadodara Region,Vadodara West Division,"POR SO, Itola BO, Itola RS BO, Sarar BO, Varnama BO, Baman Gam BO, Manglej BO, Sundarpura BO, Ramnath BO, Vadsala BO"
391244,Gujarat Circle,Vadodara Region,Vadodara West Division,"Choranda SO, Atali BO, Bachar BO, Bharthana BO, Chhanchava BO, Lakodara BO, Oslam BO, Samra BO, Saniad BO, Simri BO, Urad BO"
391250,Gujarat Circle,Vadodara Region,Vadodara East Division,"Sadhli SO, Achisara BO, Avakhal BO, Bavaria BO, Chhanbhoi BO, Deroli BO, Diver BO, Kukas BO, Malpur BO, Manjrol BO, Mindhol BO, Ranapur BO, Timbarva BO, Utraj BO"
391310,Gujarat circle,Vadodara Region,Vadodara West Division,"Karchiya BO, Karodia BO, Bajwa SO"
391320,Gujarat Circle,Vadodara Region,Vadodara West Division,Jawahar Nagar SO Vadodara
391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO, Kotna BO, Sherkhi BO, Sindhrot BO, Undera BO"
391340,Gujarat Circle,Vadodara Region,Vadodara West Division,"Nandesari Ind Estate SO, Dodka BO, Fazalpur BO, Nandesari BO, Raika BO"
391345,Gujarat Circle,Vadodara Region,Vadodara West Division,Petrochemical  T Ship SO
391346,Gujarat circle,Vadodara Region,Vadodara West Division,Dhanora BO
391350,Gujarat Circle,Vadodara Region,Vadodara West Division,"Ranoli SO Vadodara, Padmala BO, Sankarda BO"
391410,Gujarat Circle,Vadodara Region,Vadodara West Division,"Bhaily SO, Bill BO, Chapad BO, Raipura BO, Samiyala BO"
391421,Gujarat Circle,Vadodara Region,Vadodara West Division,"Masar Road SO, Abhol BO, Brahamanvashi BO, Masar BO, Sampla BO"
391430,Gujarat Circle,Vadodara Region,Vadodara West Division,"Mobha Road SO, Chitral BO, Gametha BO, Gavasad BO, Jalalpura BO, Kanda BO, Kural BO, Mobha BO, Muval BO, Pindappa BO, Sadra BO, Sanpur BO, Vanchhara BO"
391440,Gujarat Circle,Vadodara Region,Vadodara West Division,"Padra SO, Chansad BO, Dabhasa BO, Dabka BO, Darapura BO, Ekelbara BO, Ghayaj BO, Goriyad BO, Jaspura BO, Latipura BO, Luna BO, Mahmadpura BO, Mahuvad BO, Mujpur BO, Narshihpura BO, Sandha BO, Sangma BO, Sejakuva BO, Sihora BO, Tajpura BO, Umaraya BO, Vadu BO, Vishrampura BO"
391445,Gujarat Circle,Vadodara Region,Vadodara West Division,"Ranu SO, Ambada BO, Amla BO, Anti BO, Bhadara BO, Bhoj BO, Husepura BO, Pipli BO, Rajupura BO, Sadhi BO, Sarasavani BO, Vadadla BO, Virpur BO"
391450,Gujarat Circle,Vadodara Region,Vadodara West Division,"Karkhadi SO, Chokari BO, Dudhwada BO, Majatan BO, Tithor BO"
391510,Gujarat Circle,Vadodara Region,Vadodara West Division,"Jarod SO, Adiran BO, Ajwa Compound BO, Asoj BO, Bhaniara BO, Champaner Road BO, Dhanora BO, Ganeshpura BO, Ghantiyal BO, Indrad BO, Kamrol BO, Khakharia BO, Kheda Karmasiya BO, Kotambi BO, Lilora BO, Mudhela BO, Navagam BO, Panchdevla BO, Rahkui BO, Rajpura BO, Rasulabad BO, Sadra BO, Sarnej BO, Tulsipura BO, Vyankatpura BO"
391520,Gujarat Circle,Vadodara Region,Vadodara West Division,"Samlaya R S SO, Gangadia BO, Gardhia BO, Juna Samlaya BO, Kamalpura BO, Karchia BO, Motipura BO, Nani Bhadol BO, Pasva BO, Ranipura BO, Vadia BO, Vemar BO"
391530,Gujarat Circle,Vadodara Region,Vadodara West Division,"Sandasal SO, Chhaliar BO, Dhantej BO, Latwa BO, Limdi BO, Narpura BO, Pandu BO, Pipalchhat BO, Rajupura BO, Sihora BO, Vaktapura BO, Vasia BO"
391740,Gujarat Circle,Vadodara Region,Vadodara West Division,"Chhani SO Vadodara, Ajod BO, Dashrath BO, Dumad BO, Sisva BO"
391745,Gujarat Circle,Vadodara Region,Vadodara West Division,"Sokhda SO, Asoj BO, Pilol BO, Vasna Kotaria BO"
391750,Gujarat Circle,Vadodara Region,Vadodara West Division,Fartilizer Nagar SO
391760,Gujarat Circle,Vadodara Region,Vadodara West Division,"Vaghodia SO, Alva BO, Ambali BO, Chipad BO, Falod BO, Ganpatpura BO, Ghodadara BO, Gutal BO, Junarampura BO, Khanda BO, Kuvarvada BO, Limda BO, Madheli BO, Pipalia BO, Raval BO, Sangadol BO, Vasvel BO, Vejalpura BO, Vesania BO, Vyara Antoli BO"
391761,Gujarat Circle,Vadodara Region,Vadodara West Division,"Rustampura SO Vadodara, Amreshwar BO, Anandpura BO, Antoli BO, Gabhirpura BO, Goraj BO, Karmaliyapura BO, Kasumbia BO, Khandiya BO, Khervadi BO, Kuvarpura BO, Malu BO, Motimanekpur BO, Remeshwarpura BO, Saidal BO, Valva BO, Vandarda BO, Vedpur BO"
391770,Gujarat Circle,Vadodara Region,Vadodara West Division,"Savli SO, Gothda BO, Lanchanpura BO, Mevli BO, Muval BO, Nahra BO, Poicha BO, Prathampura BO, Rasulpur BO, Vasanpura BO, Vintoz BO, Tadiyapura BO"
391774,Gujarat Circle,Vadodara Region,Vadodara West Division,"Desar SO, Dajipura BO, Himmatpura BO, Itwad BO, Jambugoral BO, Kadchhala BO, Merakuva BO, Motivarnoli BO, Pratappura BO, Valavav BO, Vankaneda BO, Varsada BO, Vejpur BO"
391775,Gujarat Circle,Vadodara Region,Vadodara West Division,"Tundav SO, Anjesar BO, Bahutha BO, Lamdapura BO, Namisara BO, Subhelav BO"
391776,Gujarat Circle,Vadodara Region,Vadodara West Division,Manjusar GIDC
391780,Gujarat circle,Vadodara Region,Vadodara West Division,"Mokshi BO, Bhadarwa SO, Natwar Nagar BO, Poicha BO, Prathampura BO, Rania BO, Ranjit Nagar BO, Vakaner BO"
391810,Gujarat circle,Vadodara Region,Bharuch Division,"Kahanva BO, Kareli BO, Piludra BO, Vedach BO, Gajera SO"
392001,Gujarat Circle,Vadodara Region,Bharuch Division,"Bharuch City SO, Bharuch RS SO, N/A, LBChakla SO, Panch Fanas SO, Sindhvai SO, Bharuch HO"
392011,Gujarat circle,Vadodara Region,Bharuch Division,"Haldarva BO, Tavra BO, Zadeshwar SO"
392012,Gujarat circle,Vadodara Region,Bharuch Division,"Amleshwar BO, Argama BO, Bhadbhut BO, Bhersam BO, Bhuva BO, Dashan BO, Dehgam BO, Hinglot BO, Navetha BO, Rahad BO, Saladra BO, Vilayat BO, Vora Samni BO, Maktampur SO"
392015,Gujarat circle,Vadodara Region,Bharuch Division,"Kantharia BO, Nandeval BO, Paguthan BO, Sherpura BO, Umraj BO, Vadadla BO, Narmada Nagar SO Bharuch"
392020,Gujarat circle,Vadodara Region,Bharuch Division,"Derol BO, Kasad BO, Kelod BO, Kothi BO, Mahudhala BO, Pariej BO, Parkhet BO, Pipalia BO, Tham BO, Tralsa BO, Vahalu BO, Dayadra SO"
392025,Gujarat circle,Vadodara Region,Bharuch Division,"Anor BO, Ghamnad BO, Karela BO, Kervada BO, Keshlu BO, Kurchan BO, Padaria BO, Tanchha BO, Samni SO"
392030,Gujarat circle,Vadodara Region,Bharuch Division,"Angareshwar BO, Mangleshwar BO, Nikora BO, Shuklatirth SO"
