pincode,circle,region,division,offices
382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO, Aluva BO, Amrapur Gram Bharti BO, Limbodra BO"
382721,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol HO, Kalol Gandhi Road SO, Kalol Society Area SO, Serisa BO, Ramnagar BO, Vadsar BO, Bhoyan  Moti BO, Borisana BO, Hajipur BO, Jethlaj BO, Khatraj I E BO, Balva BO, Piyaj BO, Vadsar Air Force BO"
382722,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Santej SO
382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO, Saij BO"
382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO, Manipur BO, Thol BO, Vamaj BO"
382729,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Chhatral SO
382735,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Nardipur SO, Amja BO, Golthara BO, Jamla BO, Khoraj BO, Kotha BO, Paliyed  Veda BO, Soja BO, Veda   Paliyed BO"
382740,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Pansar SO, Dhamasana BO, Dingucha BO, Mokhasan BO, Isand BO"
382810,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Charada SO, Ajol BO, Bilodra BO, Chadasana BO, Delvada BO, Solaiya BO, Vihar BO, Padusma BO, Samau BO"
382815,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,Malosan BO
382835,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lodra SO, Lakroda BO, Rangpur BO, Ridrol BO, Varsoda BO"
382845,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Mansa Bazar SO, Mansa SO Gandhi Nagar, Randesan BO, Ambod BO, Badpura BO, Bapupura BO, Boru BO, Dholakuva BO, Fatepura BO, Indrapura BO, Itadar BO, Kharana BO, Manekpura BO, Parbatpura BO, Parsa BO, Pratapnagar BO, Vagosana BO"
382855,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Pundhara SO, Anodia BO, Khadat BO, Mahudi BO, Veda BO"
383001,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Himatnagar HO, Pural BO, Chandarni BO, Jambudi BO, Viravada BO, Vishwamangalam BO, Parabada BO, Hajipura SO, Bavsar BO, Himatnagar Station Road SO, Nava BO, Berna BO, Hadiol BO, Khed BO, Navalpur BO, Sahebapura BO, Savgadh BO, Gadhoda BO, Hapa BO, Kankrol BO, Katwad BO, Tajpuri BO, Agiol BO"
383006,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,Boria SO Sabarkantha
383010,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vaktapur SO, Gadha BO, Himatpur BO, Jamla BO, Kaniol BO, Kapoda BO, Likhi BO, Lolasan BO, Rajpur BO, Virpur BO"
383030,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Gambhoi SO, Dhundhar BO, Hathrol BO, Karanpur BO, Manorpur BO, Pedhmala BO, Rupal BO, Sadha BO, Shravana BO, Vavdi BO"
383110,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Jadar SO, Aroda BO, Bhadresar BO, Chadasana BO, Daramali BO, Dungri BO, Kotda Nana BO, Mangadh BO, Rudardi BO, Sachodar BO"
383120,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Salal SO, Dalpur BO, Hajipur BO, Moyad BO, Piludra BO, Sampad BO"
383205,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Prantij SO, Balisana BO, Bobha BO, Dalani Muvadi BO, Ghadkan BO, Jenpur BO, Kamalpur BO, Karol BO, Majra BO, Oran BO, Pallachar BO, Poglu BO, Sitwada BO, Tajpur BO, Unchha BO, Vadrad BO, Vadvasa BO, Vaghpur BO"
383210,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Sonasan SO, Ambawada BO, Fatepur Mota BO, Mahadevpura BO, Mauchha BO, Nananpur BO, Nikoda BO, Rampur A BO, Takhatgadh BO, Vaghrota BO, Zinzva BO"
383215,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Talod M Y SO, Talod SO, Amrapur BO, Boria Bechraji BO, Doltabad BO, Ghadi BO, Gora Anjana BO, Jorajini Muvadi BO, Kherol BO, Mahiyal BO, Mudhasana BO, Poyda BO, Salatpur BO, Semalia BO, Ujedia BO, Valiampura BO"
383220,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Ilol SO, Dedhrota BO, Derol BO, Kadoli BO, Kanai BO, Kanda BO, Khedavada BO, Navanagar BO"
383225,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Davad SO, Arsodia BO, Eklara BO, Kabso BO, Pethapur BO, Prempur BO, Singa BO"
383230,Gujarat circle,Ahmedabad HQ Region,Sabarkantha Division,"Bolundra S BO, Budheli BO, Chhapi BO, Deshotar BO, Falasan BO, Finchod BO, Kesharpura BO, Maniyor BO, Masal BO, Oda BO, Virpur BO, Umedgadh SO"
383235,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Vadali SO Sabarkantha, Asai BO, Babsar BO, Bhandval BO, Dantroli BO, Dhamadi Gadu BO, Dobhada BO, Gadu BO, Hatharva BO, Hathoj BO, Kesharganj BO, Kuba Dharol BO, Mahor BO, Medh BO, Nadri BO, Raheda BO, Therasana BO, Vadoth BO, Vasan BO"
383240,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Bamna SO, Ada Hathrol BO, Bankhor BO, Himmatpur BO, Hunj BO, Mankdi BO, Meditimba BO, Punasan BO"
383245,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Bhiloda Bazar SO, Bhiloda SO, Bhatera BO, Bhetali BO, Bhutavad BO, Chiboda BO, Chunakhan BO, Dholvani BO, Jeshingpur BO, Khalvad BO, Lilchha BO, Mau Bhavnath BO, Mehru BO, Nandoj BO, Narsoli BO, Nava Bhavnath BO, Raipur BO, Vankaner BO, Vejpur BO"
383246,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Takatuka SO, Ambabar BO, Bhanmer BO, Budheli BO, Budhrasan BO, Chamthan BO, Chitrodi BO, Chorimala BO, Dhansor BO, Itavadi BO, Jayla BO, Jinjudi BO, Kanadar BO, Kundol Pal BO, Masota BO, Raisingpur BO, Rampuri BO, Torda BO, Ubsal BO, Virpur BO"
383250,Gujarat circle,Ahmedabad HQ Region,Sabarkantha Division,"Bolundra BO, Kheradi BO, Khiloda BO, Kudol BO, Kushki BO, Moti Bebar BO, Nandisan BO, Sunokh BO, Vandhiyol BO, Vanzar BO, Tintoi SO, Adhera BO, Bamanvad BO"
383251,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Lusadia SO, Ansol BO, Dahegamda BO, Gali Semro BO, Intva BO, Isari BO, Kagda Mahuda BO, Mota Kantharia BO, NavagamIsri BO, Panibar BO, Rellawada BO, Vaghpur BO"
383255,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Khedbrahma SO, Bahediya BO, Delwada BO, Dharoi BO, Didhiya BO, Gota BO, Khedva BO, Nichi Dhanal BO, Padardi BO, Padhara BO, Paroya BO, Sitol BO, Valaran BO, Vartol BO, Vasana BO, Zanzva panai BO, Chikhla BO, Navi Metral BO"
383260,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Akrund SO, Borditimba BO, Chandrej BO, Rampura Kampa BO, Vatrakgadh BO"
383270,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Radhiwad SO, Agiya BO, Ambaigadha BO, Bandiyana Talav BO, Dan Mahudi BO, Demti BO, Dotad BO, Gadhada Shamlaji BO, Gundel BO, Kheroj BO, Lambadiya BO, Matoda BO, Mota Baval BO, Nada BO, Nana Sembalia BO, Nava Mota BO, Panch Mahuda BO, Patadiya BO, Ratanpur BO, Tembada BO, Unchi Dhanal BO"
