pincode,circle,region,division,offices
384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO, Vasai BO"
384345,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Sundhia SO
384355,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Vadnagar SO, Badarpur BO, Bamanva BO, Chhabalia BO, Gundrasan BO, Kahipur BO, Karbatia BO, Khatoda BO, Malekpur Vad BO, Molipur BO, Sabalpur BO, Sultanpur BO, Undani BO"
384360,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dharoi DSC SO, Hadol BO, Khodamali BO"
384410,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Balol SO, Nadasa BO, Palaj BO, Rantej BO, Asjol BO, Deloli BO, Maguna BO"
384412,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Modhera SO, Gambhu BO, Kanoda BO, Motap BO, Ranela BO, Vijapurda BO"
384415,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Becharaji SO, Ambala BO, Chadasana BO, Dedana BO, Delvada Khant BO, Dethali BO, Dodiwada BO, Kalri BO, Khambhei BO, Sampawada BO, Shankhalpur BO, Surpura BO, Venpura BO"
384421,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Jhotana SO, Bhesana BO, Diwanpura BO, Jakasana BO, Khadalpur BO, Manknaj BO, Mudarda BO"
384430,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Santhal SO, Katosan BO, Martoli BO, Virsoda BO"
384435,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Linch SO, Ambasan BO, Boriavi BO"
384440,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Kadi Mkt Yard SO, Kadi SO, Adundra BO, Balasar BO, Budasan BO, Deusana BO, Indrad BO, Jasalpur BO, Karannagar BO, Kaswa BO, Kundal BO, Lunasan BO, Nagrasan BO, Nani Kadi BO, Rajpur BO, Sadra BO, Sarsav BO, Sujatpura BO, Suraj BO, Untva BO, Vidaj BO, Visatpur BO"
384441,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Thol I E SO
384445,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Kalyanpura SO, Agol BO, Bavlu BO, Daran BO, Dharampur BO, Jeshangpura BO, Kanzari BO, Khavad BO, Kolad BO, Lhor BO, Medha BO, Vadharoda BO, Vekra BO"
384450,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Dangarwa SO, Bhatasan BO, Ganeshpura BO, Ghumasan BO, Jhulasan BO, Juni Sedhavi BO, Kaiyal BO, Karjisan BO, Mathasul BO, Nandasan BO, Vadasma BO, Vadu BO"
384455,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Ambaliasan SO, Bhasaria BO, Chaluva BO, Dhanali BO, Dholasan BO, Jornang BO, Tundali BO, BALIYASAN BO"
384460,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Jagudan SO, Akhaj BO, Devrasan BO, Mevad BO, Mulsan BO, Punasan BO, Sanganpur BO"
384465,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Langhnaj SO, Charadu BO, Meu BO, Saldi BO"
384470,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Gozaria SO
384515,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,Gavada SO
384520,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Gerita Kolavda RS SO, Pamol BO, Tatosan BO"
384530,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Kukarwada SO, Dagavadia BO, Devda BO, Kelisana BO, Sokhda BO, Vadasan BO"
384540,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Ladol SO, Kharod BO, Mandali BO"
384550,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Pilvai SO, Khanusa BO"
384560,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sardarpur SO Mahesana, Fudeda BO, Jantral BO, Madhi BO, Sundarpur BO"
384565,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Vasai Dabhala SO, Dabhala BO, Padharia BO, Titodan BO"
384570,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Vijapur Bazar SO, Vijapur SO, Aglod BO, Bhavsor BO, Bilia BO, Devpura BO, Falu BO, Ghantu Dhanpura BO, Hirpura BO, Jepur BO, Kot BO, Navasangpur BO, Pedhamali BO, Rampur Kot BO, Ranasan BO, Ransipur BO"
385001,Gujarat circle,Ahmedabad HQ Region,Banaskantha Division,"Dhandha BO, Palanpur HO, Sagrosana BO, Hoda BO, Moria  P BO, Vadhana BO, Vasan BO, Chadotar BO, Gathaman BO, Sadarpur BO, Dhanpura BO, Malana BO, Ratanpur Lokniketan BO, Bhagal J BO, Hasanpur BO, Jalotra BO, Malan BO, Bhagal P BO, Lalawada BO, Lunva BO, Sangra BO, Palanpur Delhigate SO, Vagda BO, Palanpur Ganjbazar SO, Virampur BO, Palanpur Kamalpura SO, Hathidra BO, Palanpur Kirtistambh SO, Jagana BO, Karjoda BO"
385010,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Chitrasani SO, Antroli BO, Bhatamalmoti BO, Bhutedi BO, Ranavas BO, Saghankshetra BO"
385110,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Ambaji SO, Bamnoj BO, Dhagadia BO, Hadad BO, Jamru BO, Jodhsar BO, Koteshwar BO, Panchha BO, Ranpur BO, Sanali BO, Sembalpani BO"
385120,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Danta Bhavangadh SO, Bhakhari BO, Dalpura BO, Dhanali BO, Gangva BO, Gorad BO, Jaswant Gadh BO, Jitpur BO, Kukadi BO, Kundel BO, Kuvarshi BO, Mankadi BO, Moria N BO, Motasada BO, Mumanvas BO, Navovas BO, Pethapur BO, Punjpur BO, Rangpur BO, Sandhosi BO, Vasi BO, Vijlasan BO"
385130,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Shri Amirgadh SO, Dabhela BO, Kidotar BO"
385135,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Iqbalgadh SO, Balundra BO, Dholia BO, Jethi BO, Kapasia BO, Manpuria BO, Sarotra BO"
385210,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Chhapi SO, Bavalchudi BO, Edrana BO, Mahi BO, Majadar BO, Manpura BO, Pasvadal BO, Pirojpura BO, Teniwada BO, Timbachudi BO, MALOSANA BO"
385310,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Dhanera SO, Bhanjana BO, Bhatib BO, Dhakha BO, Dharnodhar BO, Dugdol BO, Duva BO, Ghana BO, Ghodasar BO, Jadi BO, Jadia BO, Jadiali BO, Jiwana BO, Kherola BO, Kuvarla BO, Lavara BO, Malotra BO, Morthal BO, Nandla BO, Nani BO, Nenava BO, Pechhadal BO, Rah BO, Ramsan BO, Raviya BO, Samarvada BO, Saral BO, Sia BO, Thavar BO, Valer BO, Vinchhivadi BO, Zenal BO"
385320,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Bhabhar SO, Balodhan BO, Barvala BO, Chatra BO, Chembuva BO, Dhrechana BO, Eta BO, Garambadi BO, Jasanwada BO, Katav BO, Kuvala BO, Madhpura BO, Mitha BO, Morvada BO, Radka BO, Runi BO, Ruvel BO, Soneth BO, Suthar Nesdi BO, Tanvad BO, Tervada BO, Uchosan BO, Ujanwada BO, Undai BO, Vajapur Juna BO, Varasada BO"
385330,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Deodar SO, Bhesana BO, Chibhada BO, Dhanakwada BO, Duchakwada BO, Forna BO, Golvi BO, Jada BO, Jalodha BO, Jasali BO, Kotarwada BO, Ludra BO, Nokha BO, Paldi BO, Raiya BO, Ravel BO, Soni BO, Surana BO, Vakha BO, Vatamjuna BO, Chalva BO, Lavana BO, Rantila BO"
385340,Gujarat Circle,Ahmedabad HQ Region,Patan Division,"Radhanpur Rajgadhi SO, Radhanpur SO, Allahabad BO, Arjansar BO, Bandhvad BO, Bhilot BO, Chalvada BO, D RS BO, Dharvadi BO, Ganjisar BO, Gochnath BO, Javantri BO, Kamalpur D BO, Kamalpur S BO, Koliwada BO, Lodra BO, Lotia BO, Masali BO, Memdavad BO, Moti Pipli BO, Nani Pipli BO, Nanpura BO, Radhanpur Rly Colony BO, Santhli BO, Satun BO, Sinad BO, Subapura BO"
