pincode,circle,region,division,offices
387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO, Kakarkhad BO, Sarkhej BO"
387640,Gujarat Circle,Vadodara Region,Kheda Division,"Lasundra SO, Charan Nikol BO, Chikhlod BO, Fagvel BO, Kathana BO, Ladvel BO, Mal Itadi BO, Porda Fagvel BO, Vadol BO"
387650,Gujarat Circle,Vadodara Region,Kheda Division,"Nirmali SO Kheda, Abvel BO, Betawada BO, Bhoja Na Muvada BO, Telnar BO, Vyas Vasna BO"
387710,Gujarat Circle,Vadodara Region,Kheda Division,"Ramol SO, Demol BO, Karoli BO, Mitral BO, Navagam BO, Rampur BO"
388001,Gujarat Circle,Vadodara Region,Anand Division,"Amuldairy  Anand SO, Anand Town  Anand SO, District Court SO Anand, Sardarganj   Anand SO, Veternary College  Anand SO, Anand HO"
388110,Gujarat circle,Vadodara Region,Anand Division,"Hadgood BO, Anand Agri Inst  Anand SO"
388120,Gujarat Circle,Vadodara Region,Anand Division,Vallabh  Vidyanagar SO
388121,Gujarat Circle,Vadodara Region,Anand Division,Vithal Udyognagar SO
388130,Gujarat Circle,Vadodara Region,Anand Division,"Boria SO Anand, Agas BO, Ashi BO, Dhundakuva BO, Morad BO, Porda BO, Sandesar BO, Sinhol BO, Surkuva BO"
388140,Gujarat Circle,Vadodara Region,Kheda Division,"Bochasan RS SO, Chuva BO, Dabhasi BO, Rudel BO"
388150,Gujarat Circle,Vadodara Region,Kheda Division,"Nar SO, Manaj BO, Manpura BO, Runaj BO, Sundra BO, Jalla BO"
388160,Gujarat Circle,Vadodara Region,Kheda Division,"Pandoli SO, Amod BO, Khadana BO"
388170,Gujarat Circle,Vadodara Region,Kheda Division,"Sayma SO, Kalitalavadi BO, Kanisa BO, Kanzat BO, Mobha BO, Timba BO, Untvada BO"
388180,Gujarat Circle,Vadodara Region,Kheda Division,"Tarapur SO Anand, Bamangam BO, Chagada BO, Gorad BO, Hadeva BO, Indranaj BO, Isarvada BO, Jichka BO, Kanavada BO, Kasbara BO, Khanpur BO, Mahiyari BO, Milarampura BO, Mitli BO, Moraj BO, Padra BO, Pariej BO, Sansej BO, Sinjivada BO, Varsada BO, Vastana BO"
388205,Gujarat circle,Vadodara Region,Anand Division,"Ashipura BO, Badapura BO, Dagjipura BO, Jakhala BO, Kanbhaipura BO, Kasor BO, Khankuva BO, Untkhari BO, Bhalej SO"
