pincode,circle,region,division,offices
385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO, Khardosan BO, Lunpur BO, Vasna BO"
385545,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Khimat SO, Alwada BO, Anapur Chhota BO, Arkhi BO, Bapla BO, Bhadli Jhat BO, Bhandotra BO, Bhatram BO, Dhaniawada BO, Gundri BO, Jhat BO, Kuchawada BO, Kumar BO, Mandal BO, Motimahudi BO, Panthawada BO, Runi BO, Vachhadal BO, Vachhol BO, Viruna BO"
385550,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Sihori SO, Bukoli BO, Chekhla BO, Dungrasan BO, Kakar BO, Kamboi BO, Khimana BO, Khoda BO, Khodla BO, Kunvarva BO, Laxmipura BO, Manpur BO, Padardi BO, Raner BO, Raviyana BO, Umbari BO, Zalmor BO"
385555,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Thara SO, Aganwada BO, Changa BO, Isarva BO, Jakhel BO, Kasara BO, Kharia BO, Motajampur BO, Nathpura BO, Vada BO"
385560,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Un SO Banaskantha, Bhadrewadi BO, Bhalgam BO, Mandla BO, Padar BO, Siya BO, Tatiyana BO, Totana BO, Valpura BO"
385565,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Tharad SO, Asodar BO, Bevta BO, Bhordu BO, Changda BO, Charda BO, Chudmer BO, Dodgam BO, Dudhva BO, Jamda BO, Kamali BO, Khengarpura BO, Khoda BO, Lalpur BO, Luvana BO, Madal BO, Malupur BO, Mota Mesra BO, Moti Pavad BO, Piluda BO, Sanavia BO, Undrana BO, Vadgamda BO, Valadar BO, Vami BO"
385566,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Dhima SO, Akoli BO, Bhakhari BO, Bhorol BO, Chuva BO, Daiyap BO, Gadsisar BO, Idhata BO, Karbun BO, Mavsari BO, Naroli BO, Rampura BO, Sanval BO, Sapreda BO, Savapura BO, Sherau BO, Tadav BO, Vaghasan BO"
385570,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Suigam SO, Benap BO, Bharadva BO, Chala BO, Kumbharkha BO, Limbuni BO, Mamana BO, Radosan BO, JALOYA BO"
385575,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Vav SO, Asara BO, Baiyak BO, Baluntri BO, Bhachali BO, Bhatvar BO, Bukna BO, Dendava BO, Dethli BO, Dharadhara BO, Golgam BO, Jelana BO, Kundaliya BO, Lodrani BO, Madka BO, Morikha BO, Padan BO, Tithgam BO, Vasarda BO, Vavdi BO"
387001,Gujarat Circle,Vadodara Region,Kheda Division,"Nadiad HO, Desai Vago SO, Dumral Bazar SO, SRP Group Area Nadiad SO, Ashram Road Nadiad SO"
387002,Gujarat Circle,Vadodara Region,Kheda Division,"Methodist Hospital Tso Nad SO, Patel Society Area Tso Nad SO, Bilodara BO"
387003,Gujarat Circle,Vadodara Region,Kheda Division,Petlad Road SO
387110,Gujarat Circle,Vadodara Region,Kheda Division,"Ghodasar SO Kheda, Haldarvas BO, Hathnoli BO, Jaravat BO, Kuna BO, Modaj BO"
387115,Gujarat Circle,Vadodara Region,Kheda Division,"Alindra Nadiad SO, Chalali BO, Kanjoda BO, Manghroli BO, Surashamal BO, Vansol BO"
387120,Gujarat Circle,Vadodara Region,Kheda Division,"Kanij SO, Bidaj BO, Lali BO, Mahij BO, Raska BO, Samadra BO, Sankhej BO, Vasna Margia BO"
387130,Gujarat Circle,Vadodara Region,Kheda Division,"Mahemdavad SO, Amrapura BO, Bavra BO, Chhapra BO, Devki Vansol BO, Ghodali BO, Gothaj BO, Kachchhai BO, Khatraj BO, Mankwa BO, Nenpur BO, Parsantaj BO, Sansoli BO, Vadadla BO, Varsola BO"
387210,Gujarat Circle,Vadodara Region,Kheda Division,"Dabhou SO, Dethli BO, Manghrol BO"
387220,Gujarat Circle,Vadodara Region,Kheda Division,"Malataj SO, Petli BO"
387230,Gujarat Circle,Vadodara Region,Kheda Division,"Pij SO, Tundel BO"
387240,Gujarat Circle,Vadodara Region,Kheda Division,"Sojitra SO, Balinta BO, Bhalada BO, Devataj BO, Gada BO, Palol BO, Trambovad BO, Virol BO"
387305,Gujarat Circle,Vadodara Region,Kheda Division,"Alina SO, Kaprupur BO, Sheri BO"
387310,Gujarat circle,Vadodara Region,Anand Division,"Lambhvel BO, Boriavi SO"
387315,Gujarat Circle,Vadodara Region,Kheda Division,Chaklashi SO
387320,Gujarat Circle,Vadodara Region,Kheda Division,"Dabhan SO, Arera BO, Degam BO, Manjipura BO, Silod BO, Kamla BO"
387325,Gujarat Circle,Vadodara Region,Kheda Division,Kanjari SO
387330,Gujarat Circle,Vadodara Region,Kheda Division,"Mohlel SO, Chunel BO, Heranj BO, Palaiya BO, Sanali BO, Sodpur BO"
387335,Gujarat Circle,Vadodara Region,Kheda Division,"Mahudha SO, Abhripur BO, Dadusar BO, Jaliya BO, Karoli BO, Nani Khadol BO, Rudan BO, Ruppura BO, Sastapur BO, Torania BO, Undra BO, Vadthal BO, Vansoli BO"
387340,Gujarat Circle,Vadodara Region,Kheda Division,"Mahisa SO, Nizampura BO, Vasna BO"
387345,Gujarat Circle,Vadodara Region,Kheda Division,"Narsanda SO, Bamroli BO, Rajnagar BO"
387350,Gujarat Circle,Vadodara Region,Kheda Division,"Palana SO, Bamroli BO, Davda BO, Sandhana BO"
387355,Gujarat Circle,Vadodara Region,Kheda Division,"Piplag SO, Akhdol BO, Dumral BO, Keriavi BO, Piplata BO"
387360,Gujarat Circle,Vadodara Region,Kheda Division,"Salun SO, Hathaj BO, Marida BO"
387365,Gujarat Circle,Vadodara Region,Kheda Division,"Torna SO, Antroli BO, Dasalwada BO, Kaniel BO, Khadol BO"
387370,Gujarat Circle,Vadodara Region,Kheda Division,"Uttarsanda SO, Bhumel BO, Fatepur BO, Gutal BO"
387375,Gujarat Circle,Vadodara Region,Kheda Division,"Vadtal SO, Ravli BO, Sanjaya BO"
387380,Gujarat Circle,Vadodara Region,Kheda Division,"Vaso SO, Bhadkad BO, Deva BO, Laval BO, Maliataj BO"
387411,Gujarat Circle,Vadodara Region,Kheda Division,Kheda HO
387430,Gujarat Circle,Vadodara Region,Kheda Division,"Sinhuj SO, Aklacha BO, Bharkunda BO, Kesara BO, Khuntaj BO, Rinchhol BO, Saraswani BO, Shatrunda BO, Singhali BO, Vansol Sundha BO, Vanthavali BO, Vina BO"
387510,Gujarat Circle,Vadodara Region,Kheda Division,"Alindra Matar SO, Garmala BO, Heranj BO, Khandhli BO, Undhela BO"
387520,Gujarat Circle,Vadodara Region,Kheda Division,"Limbasi SO, Kharanti BO, Malavada BO"
387530,Gujarat Circle,Vadodara Region,Kheda Division,"Matar SO, Asamli BO, Khada BO, Koshial BO, Machhiel BO, Mahelaj BO, Nadhanpur BO, Palla BO, Sayla BO, Traj BO, Tranja BO"
387540,Gujarat Circle,Vadodara Region,Kheda Division,"Navagam SO, Dharoda BO, Goblej BO, Kanera BO"
387550,Gujarat Circle,Vadodara Region,Kheda Division,"Nayka SO, Dhathal BO, Kaloli BO"
387560,Gujarat Circle,Vadodara Region,Kheda Division,"Radhu SO, Chandana BO, Rasikpura BO, Shetra BO, Varsang BO, Vasna Buzarg BO"
387570,Gujarat Circle,Vadodara Region,Kheda Division,"Ratanpur SO Kheda, Antroli BO, Hariala BO, Khumarwad BO, Radhvanaj BO, Sokhada BO"
387610,Gujarat Circle,Vadodara Region,Kheda Division,"Attarsumba SO, Ajmavatkot BO, Apruji BO, Bhailakui BO, Kosam BO, Punadra BO, Ravdavat BO, Sandesar BO, Ukardina Muvada BO, Vaghjipur BO"
387620,Gujarat Circle,Vadodara Region,Kheda Division,"Antisar Gate Kpdvj SO, Kapadwanj SO, Alwa BO, Ambaliara BO, Aminpura BO, Antisar BO, Bhungalia BO, Bhutia BO, Dahiap BO, Danadra BO, Dudhathal BO, Garod BO, Ghadia BO, Jher BO, Kalaji BO, Kavath BO, Letar BO, Navagam BO, Savli BO, Sorna BO, Sunda BO, Thavad BO, Vadali BO, Vaghas BO, Vishnupura BO, Chapatiya BO"
387630,Gujarat Circle,Vadodara Region,Kheda Division,"Kathlal SO, Anara BO, Bhaner BO, Bhatera BO, Dampat BO, Dana BO, Ghoghawada BO, Jamni BO, Minavada BO, Pithai BO, Porda Bhatera BO, Sarali BO"
